GenBank Nucleotide Accession	GenBank Protein Accession
NM_144775	AAH01018; AAI42681; NP_658988; EAW55644; Q8TEV9; AAL78337; AAH14179; AAI01117; AAI01118; ; EAW55645; BAG59413
NM_171846	EAW77637; AAH67288; NP_001275514; NP_116246; P83111; AAQ89072; ; BAB55384; EAW77638; NP_741982
NM_001717	BAH13871; XP_011520196; NP_001288135; NP_001708; XP_011520195; AAB53028; Q01954; ; EAW62424; AAA35584
NM_033066	BAG61046; BAG62315; AAI44207; EAW70289; AAI32786; BAB69012; AAK71862; BAD18399; BAG60779; XP_016860109; AAY15057; EAW70286; Q96JB8; EAW70285; EAW70288; NP_149055; EAW70287; ; EAW70290; BAB69013
NM_145315	NP_001309934; AAH18445; XP_011533962; EAW48375; EAW48376; XP_024302159; ; EAW48377; AAM74228; XP_011533963; XP_005266942; NP_660358; XP_011533959; XP_016866136; XP_016866138; Q8WV93; XP_011533961; XP_016866137
NM_033261	NP_150286; AAK49437; BAB71322; ; AAK29358; AAK49436; EAW86525; Q9BXS1; AAH17778
NM_000497	CAD24087; ABX82059; CAD24088; P15538; BAC04283; BAA03717; CAD24089; AAL84813; AAH96286; AAA52149; CAD24090; EAW82293; AAH96285; AAH96287; NP_001021384; EAW82295; ; ABY87528; ACZ81439; BAB71992; EAW82294; AAA52148; CAA39290; NP_000488
NM_138572	EAX04079; AAP47094; EAX04078; BAG64207; XP_011512598; XP_016865731; BAB71460; AAI19680; AAI19679; XP_016865730; XP_016865734; NP_612639; XP_005248906; XP_016865733; Q7Z7C8; XP_016865732; ; EAX04080
NM_015198	AAH45771; XP_011513540; NP_001333370; O75128; BAG57272; XP_011513543; NP_001333371; AAH94695; AAI11497; AAI50264; XP_011513536; XP_011513537; NP_056013; EAW60962; EAL23896; CAD28543; AAI44100; XP_005271807; XP_011513539; XP_011513538; XP_011513541; XP_011513542; XP_016867387; NP_001274365; NP_001333372; ; AAI36442; XP_005271808; NP_001333373; EAW60963; BAA31608; AAH29275; NP_001274367
NM_052931	AAQ88526; Q96DU3; CAC59749; CAC59750; XP_016855705; BAH13193; BAG64907; XP_016855706; CCF77050; BAG54223; BAG36325; EAW52714; CAI46161; XP_016855704; ; EAW52715; EAW52716; NP_001171644; EAW52713; AAI14496; NP_001171643; NP_001171645; NP_443163; BAG62642; AAI13894
NM_145238	EAX07454; EAX07455; P17040; AAH11404; XP_016857727; BAF82884; AAH08827; CAA36586; XP_016857726; ; XP_016857728; NP_001364307; NP_001364308; EAX07456; BAD18552; NP_001364306; NP_660281; NP_001364305; XP_016857730
NM_170699	CAD69712; EAW70598; XP_016858957; NP_001070659; CAD37291; Q8TDU6; XP_016858956; XP_016858958; BAG53647; NP_001070662; NP_733800; ; AAH33625; XP_011509045; BAB89314; BAC65343; BAC55235; BAG53648; NP_001308879
NM_017821	EAX07288; BAG53496; NP_060291; BAH11675; AAI37111; NP_001291675; Q9NX52; AAM95697; AAH13103; ; AAI37109
NM_032863	; AAY41027; Q86XX4; CAD38554; AAH64487; CAH10488; NP_001159605; EAX05821; AAH20192; CAD54734; AAH52281; AAI31821; NP_079350; BAA96024; BAB15216; CAH10691; AAI31822; BAB55399
NM_032430	EAW72359; AAL87697; XP_011525697; ; EAW72361; CAD38595; EAW72360; BAG54120; AAL87698; AAS10354; Q8TDC3; BAB47440; CAD38950; AAS86442; ADX95745; XP_005259384; XP_024307507; NP_115806
NM_173689	XP_011516859; ; EAW87567; XP_011516858; XP_011516860; NP_775960; EAW87568; XP_005251991; BAC04626; BAC86684; ABD90532; Q5IJ48; AAU14134
NM_080671	AAL49979; NP_542402; BAG36019; Q8WWG9; BAH11761; AAH14429; ; ABB00306; AAX93228; ABQ01241; EAW70810
NM_145273	XP_006721784; XP_006721785; XP_011522686; NP_001161795; EAW51657; AAQ88730; Q6UXG3; AAN86135; NP_660316; ; EAW51658; EAW51659; AAN86134; XP_005257133; NP_001161794; NP_001161796; EAW51660; BAG60397; AAH25395; XP_005257132; XP_016879724
NM_080877	XP_011516561; XP_016869779; BAJ14718; BAB83242; XP_016869780; NP_001170788; XP_016869781; BAC04667; XP_011516560; XP_011516563; NP_001170787; NP_543153; ; Q8N130; XP_011516559; XP_011516562
NM_020361	AAM19307; Q8N4T0; XP_016869135; ; EAW86938; XP_011515872; EAW86937; NP_065094; EAW86939; AAF91231; AAK84941; AAH33684; DAA00037; XP_016869136
NM_152613	NP_689826; EAW60483; Q6ICG8; ; AAH22546; AAH22549; AAQ02873; BAG54636; BAG58880; CAG30286
NM_152696	BAG63945; XP_005270667; EAW56585; EAW56587; EAW56589; BAG53650; CAD38689; AAH28408; XP_024309676; NP_689909; EAW56590; EAW56592; AAH33012; XP_005270670; NP_001356735; NP_001356736; NP_938010; ; XP_006710506; NP_852003; Q86Z02; BAC57075; EAW56586; EAW56588; AAH36057; XP_005270668; NP_938009; EAW56591; EAW56593; BAA31605; XP_011539279
NM_022045	BAG62427; BAB13965; NP_071328; ; Q96DY7; AAH13136; EAW92006; XP_011515265; EAW92007; XP_011515264
NM_145259	CAJ33702; EAX11446; AAP21995; EAX11444; AAX88951; EAX11445; AAP21994; AAM93495; NP_001104502; NP_001104503; CAJ33704; CAJ33703; AAH22530; ; AAP21993; NP_660302; AAY15093; Q8NER5; NP_001104501
BC030710	AAH30710
NM_145720	EAX04973; BAB71642; AAH37869; Q8IY51; NP_663772; ; XP_005262864
NM_053017	EAX02557; AAQ88831; NP_001284597; AAH14577; NP_001073004; NP_443750; ; EAX02556; XP_005252836; XP_011518181; CAC79987; XP_016872660; XP_006718199; EAX02555; Q96L15
NM_153364	Q8NEG0; EAW97617; CBH19281; NP_699195; ; AAH31221; BAG35633; CBH30702
NM_058189	AAK60445; AAL34496; EAX09373; P58512; AAK74136; EAX09375; 
NM_145007	; EAW72415; AAO12533; AAO59428; NP_001284672; NP_001372380; NP_001381823; NP_659444; AAM14632; AAO12532; AAH34730; BAC03490; NP_001372382; EAW72416; P59045; AAO18162
NM_144583	BAF85641; NP_653184; AAK83464; AAH12142; XP_011508642; XP_016859234; EAX00951; EAX00952; Q8NEY4; NP_001034451; XP_011508643; AAY24069; ; XP_011508641
NM_148960	; NP_001172046; AAH30524; NP_683763; BAF83886; CAJ46932; EAX07147; NP_001116867; Q8N6F1; AAQ07256; EAX07146; BAH12918; BAC04691
NM_145206	EAW49524; ; EAW49525; AAH17052; NP_001305132; NP_001352641; NP_001352639; NP_001305134; NP_001352643; Q96AJ9; NP_001352642; BAG64649; NP_001352640; NP_660207
NM_145027	AAI43446; XP_005248961; XP_011512661; NP_001275950; ; BAC85560; NP_659464; XP_011512659; NP_001275949; BAD18616; AAI17308; XP_016865916; XP_016865917; NP_001338432; AAI43445; XP_011512660; NP_001338495; Q6ZMV9; AAH22074; NP_001275953; CAD89950; AAH98418; XP_011512663
NM_138451	EAW98043; ; BAC86856; XP_011536165; XP_005253891; XP_011536164; AAH13151; XP_005253890; NP_612460; EAW98044; EAW98045; Q96DY2; XP_011536166; NP_001317381
NM_138810	CBX47543; EAW47637; EAW47638; EAW47639; NP_473455; NP_620165; AAM43830; AAM43831; CBX47542; AAH15859; CBX47541; Q8N103; BAC04947; NP_001265662; NP_687034; BAB71378; ; AAI11732
NM_033104	AAK57558; EAW81340; AAI17496; XP_024305502; BAD92185; AAK76362; Q8WXE9; AAH69359; AAH69587; AAI17494; XP_011535544; XP_024305503; NP_001381319; EAW81341; AAH69389; XP_011535542; XP_024305501; ; NP_001353778; AAL47008; AAH69502; XP_011535543; XP_024305504; NP_001243359; NP_001353779
BC040857	AAH40857
NM_144652	; XP_011542712; XP_016868540; XP_016868543; XP_016868545; NP_001273716; EAW63317; AAO49715; XP_016868544; NP_001317444; BAF82633; BAH13720; AAH29541; NP_001186589; NP_001273748; NP_001350133; NP_001273750; NP_001350134; BAB71680; BAG63655; XP_011542710; Q2VYF4; XP_011542708; XP_011542709; XP_016868541; XP_016868542; NP_001186588; EAW63318; NP_653253
NM_057176	AAI03899; Q8WZ55; EAX06661; AAK57750; AAI03901; ; AAI03900; NP_476517
NM_130441	AAH74967; ; AAL37358; NP_569708; AAH74968; AAI14339; AAL37036; AAL37359; AAI02017; EAW88654; EAW88655; XP_016874429; NP_001358319; NP_001358320; EAW88656; AAQ88590; AAI02016; XP_024304640; AAI02018; XP_024304641; NP_987099; Q8WTT0; BAG53616
NM_021209	BAF85362; AAH31555; BAG53062; BAG37300; XP_016860108; EAX00454; EAX00455; NP_001186068; AAK53443; AAK14777; AAK14779; EAX00451; EAX00453; AAK14776; AAK59843; NP_001186067; NP_001289433; ; EAX00452; Q9NPP4; CAB97523; AAK14778; AAK38730; NP_067032; AAQ88519
AY027790	AAK14779
NM_173502	CAF86411; NP_775773; NP_001245219; AAI37397; XP_016878457; NP_001245220; ; EAW52153; Q5K4E3; XP_011544060; XP_016878458; EAW52154; CAF25303; BAF82999; BAG60303; BAG62942; AAI44616; XP_016878459; XP_016878460
NM_144969	BAB71168; AAQ89146; AAI03982; EAW98627; BAG53779; XP_016884786; EAW98628; BAH14076; BAG54696; XP_024308110; XP_016884785; Q96MV8; AAI03981; NP_001139729; NP_659406; ; EAW98629; AAI03983; XP_006724687; XP_016884787; NP_001139728
NM_152256	AAO31738; EAW55695; CAB63768; AAH21209; NP_109590; Q7Z5J4; XP_016879517; ; EAW55696; BAB47449; CAD39127; XP_016879514; XP_016879516; XP_016879515; CAC20424; EAW55693; CAC20423; CAD39144; EAW55692; EAW55694
NM_139158	CAE06250; EAW70295; BAD18656; XP_011509952; NP_001353315; NP_631897; AAX93182; EAW70297; XP_005246839; EAW70296; XP_011509959; XP_011509957; XP_011509958; NP_001248364; AAX88914; BAB69017; CAE06249; Q96Q40; AAH38807; XP_011509954; XP_011509956; ; BAF85123; NP_001248365
NM_144694	AAI30434; XP_011524847; NP_001308922; NP_001308923; XP_011524846; BAG59953; ; EAW56732; Q96NI8; NP_653295; AAI30426; NP_001287922; BAB70908; NP_001308920; NP_001308921
NM_145656	-
NM_153205	
NM_144587	BAB71658; NP_653188; AAI09262; AAI09263; XP_011537542; XP_016871126; XP_011537543; XP_016871125; NP_001305118; XP_011537541; XP_011537544; ; EAW49320; EAW49321; Q32M84
NM_031440	CAC37401; Q9BQQ7; ; AAT70682; AAI31757; EAW64768; NP_113628
NM_144991	AAH21197; AAI15416; CAD32309; EAX09403; EAX09401; NP_659428; ; Q8WU66; NP_001258966; EAX09402
NM_138731	CAD97872; XP_016876480; XP_016876481; XP_016876492; XP_016876495; XP_016876496; NP_001375003; NP_001375004; EAW65850; XP_016876484; XP_016876491; XP_016876503; XP_024305252; BAF84539; AAL27798; ALQ34327; XP_011534765; XP_011534769; XP_016876486; XP_016876488; XP_016876489; NP_001374996; NP_001374997; AAH36523; XP_016876507; XP_024305251; NP_001375000; NP_001375001; EAW65848; AAH35870; CAD97638; ALQ34326; XP_016876487; XP_016876505; NP_001182225; NP_001182226; NP_001375006; ; EAW65847; XP_016876506; NP_001374998; NP_620059; EAW65849; ALQ34325; XP_016876482; XP_016876485; NP_001374999; EAW65846; Q8TD10; AAH36124; XP_016876490; XP_016876508; NP_001375002
NM_153344	XP_005248907; BAB70828; BAF82578; XP_005248910; EAX04336; AAH36917; XP_016865785; XP_016865787; ; Q5SZD1; EAX04335; NP_001139124; XP_006715060; XP_005248909
NM_145300	; EAW99726; EAW99725
NM_138995	AAY24159; XP_011508959; XP_011508960; EAX11245; BAB71011; AAI36621; NP_001077084; NP_620482; AAL57233; AAO13799; AAI44308; AAY14892; AAY24324; AAO13801; XP_006712362; XP_024308481; ; EAX11246; AAO13800; EAX11244; AAO13802; XP_011508958; Q8WXR4; XP_011508956; EAX11243; AAO13803; XP_011508957
NM_003813	NP_003804; AAD55255; EAW81035; AAI09026; ; Q9UKJ8; AAC52042; AAI09025
NM_173553	XP_011530041; AAR11852; AAI11960; AAI43710; ; Q8N7C3; NP_775824; XP_011530039; BAC05372; AAI11962; NP_001290348; EAX04609; BAH13282; XP_011530040; AAR11851
NM_172025	AAL99903; AAL47201; ; BAA95546; CAK32373; EAX10058; AAM70495; AAQ22368; AAQ65077; AAM70494; EAX10059; AAL47202
NM_153701	AAH29121; AAI37405; EAW84655; XP_011526269; XP_011526276; NP_714912; CAC10446; EAW84654; BAF83112; AAI37407; AAA21340; XP_006722804; XP_011526272; EAW84656; P42701; XP_011526273; XP_011526274; XP_011526277; XP_011526278; NP_001276953; AAV28734; EAW84653; XP_011526275; XP_016882251; NP_001276952; XP_011526268; NP_005526; ; XP_011526270; XP_011526271; XP_011526279
NM_172196	; AAH25991; EAX00193; BAD97070; Q9UNN4; AAD39634; AEE61240; NP_006863; BAG63576; NP_001180416; EAX00194; AAH64585
NM_145068	EAW90502; EAW90504; BAB84858; BAG54559; AAI43331; AAM80558; NP_001245134; EAW90503; EAW90505; AAI43295; ; AAM80559; ACA81614; Q8NET8; AAM54027; BAG65523; AAI04867; AAI04869; AAI43300; NP_659505; CAD31711; BAG54484
NM_173538	AAI17327; XP_024302850; EAW91648; BAC04062; Q8NA66; XP_016868638; ; NP_775809; AAI17329
NM_145189	EAW82709; EAW82711; EAW82713; EAW82708; AAK76740; EAW82705; EAW82710; BAG63794; NP_001380727; NP_001380728; Q96J65; BAG53632; NP_001378957; EAW82712; EAW82714; EAW82706; EAW82707; AAL99900; AAL99901; NP_150229; ; AAL79528; AAL79529; AAO40749; NP_001380726
NM_147191	AAM75352; Q8N119; AAM92903; ; AAW62254; NP_671724; AAM78033; EAW49230
NM_139172	EAW72372; Q8WZ59; AAL35294; AAI28190; NP_631911; ; AAI28191; XP_016881820
NM_139285	EAW80131; Q8NHY3; AAM34264; AAM34265; ; NP_644814
NM_133490	EAW95488; Q8TDN1; EAW95490; AAL83911; NP_758857; EAW95489; AAH08969; ; AAP46289; AAI09204
NM_152990	; EAX03891; Q8NFP0; AAN03789; AAH31105; AAI07050; NP_694535; XP_011512702
NM_145811	CAC36508; EAW89018; AAI01634; AAM00595; AAI01608; EAW89019; AAF00132; AAL50046; BAF82860; ; AAF03089; Q9UF02; NP_665810; NP_001358405
NM_153203	; Q8TCZ7; AAL82536
NM_173168	AAO11658; ; A6NKX1
NM_147197	EAW75825; AAH62670; ; NP_671730; Q8NEX6; AAK97771; EAW75824
NM_172139	CAI75184; AAN86127; CBY45349; NP_742151; CAJ41837; CAT02303; EAW56869; AAI30317; CAS97665; CDL78890; CBY45409; AAN28264; ; Q8IZI9; AAR24509; AAQ01561; AAI30315; CAL33803; NP_001333866
NM_002227	EAX06547; AER93381; P23458; AAI11402; AAA36527; NP_001307852; NP_001308785; EAX06548; BAD92294; NP_001308783; NP_001308784; AAH23604; AAI32730; NP_001308782; NP_001308786; NP_002218; CBG22571; BAE02826; ; AAH62431; NP_001308781
AL555086	-
NM_020240	CAC38694; AAH98349; NP_001033791; NP_001362562; NP_064625; BAG35319; AAH96738; EAW62372; Q9NRR3; ; NP_001362563; AAF87598; AAH96703; EAW62373; NP_001362564
NM_001093	EAW97853; XP_011536565; BAD92347; BAG63759; BAG63782; AAC50571; XP_006719430; XP_016874741; ; EAW97852; CAE01470; CAE01471; AAR37018; AAB58382; XP_011536567; NP_001084; O00763; XP_011536561; EAW97854; EAW97855; AAH28417; ABF48723; XP_011536566
NM_022457	AHW56570; AHW56573; XP_005245504; XP_005245505; XP_006711550; XP_016857550; XP_016857554; XP_016857561; XP_016857562; XP_016857563; XP_016857564; NP_001273573; NP_071902; AAH94728; XP_016857548; XP_016857569; Q8NHY2; XP_016857553; XP_016857568; ; AHW56572; AHW56700; XP_016857559; XP_016857565; XP_016857567; EAW91000; AAQ08989; BAG50884; AHW56571; AHW56632; XP_011508183; XP_016857560; EAW91001; EAW91002; AAM34692; AAS82851; AHW56569; XP_016857556; DAA01050; AAH20845; AHW56568; AHW56715; XP_016857551; XP_016857552; XP_016857555; XP_016857558; NP_001001740; EAW90999; BAG37289; XP_016857549; XP_016857566
NM_005819	CAA05177; BAG35349; EAW91092; EAW91091; O43752; BAG61129; XP_016855496; ; BAB71242; AAH09944; CAG46654; NP_001273139; EAW91093; CAG46671; NP_005810
NM_018685	EAW94067; EAW94068; Q9NQW6; NP_061155; CAL40337; EAW94072; XP_006715809; NP_001271230; BAA91711; XP_016867843; NP_001271231; EAW94070; EAW94071; BAA91710; BAG61678; AAH70066; ; XP_016867844; AAF75796; BAB14463; BAF83943; XP_006715810; EAW94069; AAH34692; CAI56788; XP_016867845
NM_173080	AAI12171; AAK96400; AAH69549; ; XP_016855971; EAW53358; NP_775103; Q96PI1; AAH69445; AAI12173
BQ613856	-
BC025237	AAH25237
AB063105	BAB70662
NM_030923	; AAG44635; XP_011510252; XP_016860551; AAY24144; EAX11654; AAH26170; CAB59180; EAX11653; CAH10592; XP_016860550; Q8TC26; NP_112185; AAX93249; XP_016860549
NM_001173	; NP_001025226; EAW65936; EAW65937; BAD92988; AAP83192; XP_016876777; BAF85655; AAI29929; AAA95963; XP_005267693; AAH50059; CCQ43130; EAW65935; AAH75799; AAI29930; Q13017; NP_001164; EAW65938; AAH32723; XP_005267692
NM_022373	EAW94054; BAB15300; EAW94050; BAG38050; EAW94051; EAW94055; AAH20264; NP_071768; EAL23973; XP_006715828; EAW94052; EAW94053; Q9BSE4; ; BAG51558; AAH05091; XP_016867995
NM_015167	EAW89434; ABU68577; ALP06202; EAW89429; Q6NYC1; BAG51050; AAH66654; NP_055982; ; ABU68576; EAW89431; BAG57932; EAW89432; EAW89433; NP_001074930; EAW89430; BAA25511; BAC16755; AAH47003
NM_006662	AAH63578; ; AAD39760; BAC87237; Q6ZRS2; NP_006653; EAW52213; BAG51225; EAW52214; BAK64152; BAC86558
NM_145319	AAI29951; O95382; XP_016858260; NP_004663; BAD12485; ; CCQ43272; EAX07758; AAD05304; AAH15914; AAI09033; AAI29952; NP_001284538; BAD92042; XP_016858261
BC012375	AAH12375
NM_033204	EAW84855; EAW84856; AAN46749; AAH94808; XP_024307554; XP_024307555; ; BAG53429; NP_149981; Q8IZC7; CAB46422; XP_024307553; NP_001287878; EAW84857; AAI19681; AAH11502
NM_080601	QIC34433; QIC34448; QIC34456; QIC34501; QIC34529; AAP35770; ACE60554; XP_011536915; EAW98012; QIC34429; QIC34432; QIC34437; QIC34438; QIC34442; QIC34450; QIC34492; QIC34513; QIC34516; QIC34524; QIC34526; BAG35082; AAH08692; ACE60555; ACE60556; AAA36611; QIC34424; QIC34439; QIC34443; QIC34458; QIC34462; QIC34465; QIC34467; QIC34468; QIC34478; QIC34491; QIC34507; QIC34509; QIC34512; QIC34523; BAF82543; QIC34440; QIC34446; QIC34449; QIC34461; QIC34469; QIC34471; QIC34475; QIC34484; QIC34497; QIC34506; QIC34528; CAA50045; NP_542168; EAW98011; QIC34428; QIC34431; QIC34436; QIC34441; QIC34451; QIC34455; QIC34460; QIC34464; QIC34482; QIC34483; QIC34496; QIC34499; QIC34500; QIC34519; QIC34521; QIC34527; QIC34530; BAA02740; NP_002825; QIC34426; QIC34434; QIC34435; QIC34444; QIC34453; QIC34463; QIC34466; QIC34474; QIC34476; QIC34487; QIC34498; QIC34502; QIC34517; QIC34520; QIC34525; AAH30949; NP_001317366; QIC34425; QIC34445; QIC34452; QIC34454; QIC34457; QIC34472; QIC34473; QIC34481; QIC34485; QIC34490; QIC34494; QIC34495; QIC34504; QIC34508; QIC34510; QIC34511; QIC34514; QIC34515; QIC34518; QIC34522; AAH25181; AAB21148; ; Q06124; QIC34427; QIC34430; QIC34447; QIC34459; QIC34470; QIC34479; QIC34480; QIC34486; QIC34488; QIC34489; QIC34493; QIC34503; QIC34505; AAA17022; NP_001361554
NM_138433	Q96G42; ; EAW73566; AAH09980; NP_612442
NM_031921	BAA86587; BAF83275; CAD38876; ; AAH02542; EAW56192; EAW56193; AAH18701; XP_005244863; BAB14787; XP_011540543; XP_011540546; NP_001304167; CAE91225; Q5T9A4; EAW56194; NP_114127
NM_145297	AAH07116; AAI07804; NP_001070143; NP_660340; EAW84879; AAI50652; ; AFH78589; EAW84878; BAC04729; CAH18089; Q68DY1
NM_024947	BAG65243; XP_011511490; XP_016862728; EAW78517; ; BAB14245; BAB14365; BAG61936; AAI31773; ABQ59027; XP_005247846; NP_079223; EAW78516; AAM46139; XP_016862726; XP_016862727; Q8NDX5; XP_005247850; XP_006713819; XP_011511488; EAW78520; CAC86587; XP_011511489; EAW78521; EAW78522; AAM51781; AAH70164; XP_006713816; XP_006713817; XP_011511491; EAW78519; AAH22325; XP_006713820; XP_016862724; XP_016862725; EAW78518; EAW78523; CAI46090; XP_005247848; NP_001295045
NM_147162	AAB36491; BAF84762; AAP88866; EAW58424; EAW58425; CAA86570; AAH03110; AAS00093; Q14626; EAW58422; BAG52913; EAW58423; AAB36492; ; EAW58426; CAA86224; NP_001136256
NM_003844	AEB77762; AAP35552; ACO37639; ; CCA94571; BAF83988; AAH12866; ABK41896; CCQ43238; AAC51226; NP_003835; O00220; EAW63636
NM_057178	EAW80173; ; BAC04059; EAW80172; EAW80177; EAW80178; AAH28424; EAW80176; AAM29181; NP_001017368; AAH15681; Q8WZ73; AAL30771; CAI45952
AK093112	BAC04059
NM_152843	BAG53049; CAB97208; XP_011528788; XP_011528792; XP_016884536; XP_024308067; NP_001336828; NP_001336833; NP_071364; BAB71540; CAD28549; XP_024308068; NP_001336830; EAW59717; BAB33337; AAH65030; XP_011528790; XP_011528791; XP_011528795; XP_016884535; XP_016884545; XP_016884550; NP_001336827; NP_001336831; NP_001336832; CAI17880; BAF82900; XP_011528793; XP_016884551; XP_024308066; NP_001336834; Q9NQG7; ; AAK95330; CAG30278; XP_006724423; XP_011528787; XP_011528789; XP_016884534; EAW59720; XP_011528794; XP_011528798; XP_016884541; XP_016884542; XP_016884552; XP_016884553; NP_001336825; EAW59718; CAQ09361; XP_011528797; NP_001336829; NP_690054; EAW59719; XP_011528796
NM_144624	CAD60192; EAW90708; CAK32272; BAF85058; AAH14917; NP_787062; EAW90707; CAI46199; AAH26046; NP_653225; EAW90706; EAW90709; Q8TAS1; ; NP_001171692
NM_032243	EAX01593; AAH50132; CBH19491; BAG64165; CAB66676; ABQ59057; NP_115619; EAX01594; Q86VQ3; BAC05133; ; AAK94950; AEE61125; NP_001091999; CAD43701
NM_014903	EAW97342; BAG60728; XP_016875660; XP_016875662; XP_016875664; CCQ43467; AAM73757; AAH17667; XP_011537242; XP_011537246; XP_016875653; XP_016875655; XP_016875657; XP_016875659; EAW97341; XP_005269272; XP_011537243; BAA76782; BAG58055; ; CAD32554; XP_016875661; XP_016875663; NP_055718; Q8IVL0; XP_016875654; XP_016875656; XP_016875658; NP_001019554
BC021215	AAH21215
NM_032101	; Q9Y5F8; AAD43783; AAD43730; BAA21569; NP_061750; AAH51788; EAW61923; EAW61944; NP_115272
NM_015064	-
NM_144997	CAD38565; ALQ34346; NP_659434; BAC86760; AAH15687; XP_011522020; NP_001340159; NP_653207; CAM35387; XP_011522016; XP_011522021; EAW55715; XP_016879794; XP_024306403; BAC87186; XP_011522023; XP_016879798; ; NP_001340158; EAW55716; Q8NFG4; AAM94803; AAH15725; XP_016879797; ALQ34347; NP_001340160
NM_032903	BAG36854; EAW54245; 
NM_020794	EAX06462; EAX06463; AAL28133; AAP06801; AAI28990; CAH18423; Q96NW7; NP_001353766; ; EAX06465; NP_001317564; NP_001353768; NP_001353771; EAX06461; BAA92603; NP_001353769; BAH11697; NP_001337145; NP_001353770; EAX06464; NP_001353765; NP_001353767; NP_001357714
NM_005489	BAF84082; BAF84730; AAH27962; NP_001239263; AAQ89948; CAI46101; NP_001136005; Q8N5H7; BAF85407; EAW87695; BAG51614; NP_001136003; NP_005480; AAD28246; BAG53404; AAH32365; NP_001136004; NP_733745; BAG57643; ; AAQ88456; NP_001136006
NM_024607	; CAC69382; BAG53215; AAH43388; NP_078883; BAB14811; NP_001188258; EAW65572; Q86XI6; XP_016869324; XP_006716316
NM_032591	; Q96T83; XP_011542292; EAW59270; EAW59272; BAG51760; XP_006724627; NP_115980; AAK54508; XP_005272738; EAW59273; EAW59271; XP_005272739; NP_001244220; XP_016885394; XP_016885395
